"Année","Identifiant","Type dépôt","Type document","Statut","Auteurs","Titre","Affiliations","Projets","Référence interne","doi","Actes","linkExtId"
2017,"hal-01658606","notice","Article dans une revue",,"Burkhardt Flemer, Nadia Gaci, Guillaume Borrel, Ian R. Sanderson, Prem P. Chaudhary, William Tottey, Paul W. O'Toole, Jean-François Brugère","Fecal microbiota variation across the lifespan of the healthy laboratory rat","MEDIS, Department of Microbiology & Alimentary Pharmabiotic Centre, UCA, INRA Clermont-Ferrand-Theix, UCC",,,"10.1080/19490976.2017.1334033",,"openaccess"
2017,"hal-01882099","notice","Article dans une revue",,"Eric Gaudron, Gaël Rémond","Corps de Siegel","LMBP, IF [1973-2019], UCA, CNRS, UGA [2016-2019]",,"TN","10.1515/crelle-2014-0096",,
2017,"hal-01657296","notice","Article dans une revue",,"Xavier Souvignet","""Conclusions. L'accès au droit : d'objet à sujet"", Le Dossier : De l'accès au droit à l'exercice de la citoyenneté, Actes du colloque de Clermont-Ferrand des 24-25 septembre 2015, textes réunis par F. Faberon et A. Habrial, La Revue du Centre Michel de l'Hospital [ édition électronique ], 2017, n° 12, pp. 166-172","CRJ [2016-2019], UGA [2016-2019]",,,,,
2017,"hal-01701075","notice","Article dans une revue",,"Klaus-Gerd Giesen","""Martin Schulz peut-il convaincre les Allemands ?"", The Conversation France, 10 juin 2017","CMH , UCA",,,,,
2017,"hal-01689643","notice","Article dans une revue",,"Frédéric Charillon","""La défense, pour quoi faire ?"", The Conversation France, 13 avril 2017","CMH , UCA",,,,,
2017,"hal-01689641","notice","Article dans une revue",,"Frédéric Charillon","""Macron–Le Pen, deux France dans le monde"", The Conversation France, 24 avril 2017","CMH , UCA",,,,,
2017,"hal-01689610","notice","Article dans une revue",,"Anne-Blandine Caire","""Que penser de la greffe d'utérus ?"", The Conversation France, 2 mai 2017","CMH , UCA",,,,,
2017,"hal-01621461","notice","Article dans une revue",,"Valérie Cohen, François Sarfati, Jean-Marie Pillon, Claire Lefrançois, Sacha Leduc","Dossier débat : Moi, Daniel Blake","CITERES, LISE, CEET, IRISSO, UdA, Université de Tours, CNRS, CNAM, M.E.N.E.S.R., Ministère du Travail, de l'Emploi et de la Santé, Université Paris Dauphine-PSL, INRA",,,"10.4000/nrt.3099",,"openaccess"
2017,"hal-01658505","file","Article dans une revue",,"Thanh-Tin Nguyen, Maxime Lhuillier","Self-calibration of omnidirectional multi-cameras including synchronization and rolling shutter","IP, Sigma CLERMONT, UCA, CNRS",,,"10.1016/j.cviu.2017.08.010",,
2017,"hal-01657248","notice","Article dans une revue",,"Rindra Rantoson, Adrien Bartoli","A 3D deformable model-based framework for the retrieval of near-isometric flattenable objects using Bag-of-Visual-Words","Le2i, IP, UB, ENSAM, Arts et Métiers Sciences et Technologies, HESAM, AgroSup Dijon - Institut National Supérieur des Sciences Agronomiques, de l'Alimentation et de l'Environnement, CNRS, Sigma CLERMONT, UCA",,,"10.1016/j.cviu.2017.08.004",,
2017,"hal-01650673","notice","Article dans une revue",,"Frédéric Dutheil, Brett Ashley Gordon, Geraldine Naughton, Edward Crendal, Daniel Courteix, Elodie Chaplais, David Thivel, Gérard Lac, Amanda Clare Benson","Cardiovascular risk of adipokines: a review","LaPEC, CHU Clermont-Ferrand, ANU, AME2P, Centre Hospitalier Universitaire de Clermont-Ferrand, AU, Faculté des Sciences du SportFaculté des Sciences du Sport, UFR STAPS, UCA",,,"10.1177/0300060517706578",,"openaccess"
2017,"hal-01686542","file","Article dans une revue",,"Lucile Marty, Maud Miguet, Marie Bournez, Sophie Nicklaus, Stephanie Chambaron, Sandrine Monnery-Patris","Do hedonic- versus nutrition-based attitudes toward food predict food choices? a cross-sectional study of 6- to 11-year-olds","CSGA, UCA, INRA, UB, AgroSup Dijon - Institut National Supérieur des Sciences Agronomiques, de l'Alimentation et de l'Environnement, CNRS",,,"10.1186/s12966-017-0618-4",,"openaccess"
2017,"hal-01659182","file","Article dans une revue",,"Marie Blanquet, Emilie Labbe-Lobertreau, Catherine Sass, Dominique Berger, Laurent Gerbaud","Occupational status as a determinant of mental health inequities in French young people: is fairness needed? Results of a cross-sectional multicentre observational survey","IP, CETAF, UCBL, Sigma CLERMONT, UCA, CNRS, CHU Clermont-Ferrand, Université de Lyon",,,"10.1186/s12939-017-0634-7",,"openaccess"
2017,"hal-01682606","notice","Article dans une revue",,"Mabali Aristide, Mantobaye Moundigbaye","Oil and Regional Development in Chad: Assessment of the Impact of the Doba Oil Project on Poverty in the Host Region","CERDI, UCA, CNRS",,,"10.1111/1467-8268.12232",,
2017,"hal-01656063","notice","Article dans une revue",,"Pablo Sánchez, Mounir Traïkia, Alain Dequidt, Agilio A. H. Padua, Josefa García","Molecular understanding of pyridinium ionic liquids as absorbents with water as refrigerant for use in heat pumps","ICCF, Departamento de Física Aplicada, Universidad de Vigo, Universidade de Vigo, Sigma CLERMONT, UCA, CNRS",,,"10.1002/aic.15690",,
2017,"hal-01646771","notice","Article dans une revue",,"Imen Miladi, Magali Vivier, Marie-Mélanie Dauplat, Morgane Chatard, Sophie Besse, Aurélien Vidal, Karine Chassain, Betty Jean, Christiane Forestier, Jean-Michel Chezal, Françoise Rédini, Françoise Degoul, Elisabeth Miot-Noirault","Doxycycline and its quaternary ammonium derivative for adjuvant therapies of chondrosarcoma","UNICANCER/CJP, Service d'anatomo-pathologie, IMoST, Service de Radiologie, Unité de Neuroradiologie, LMGE, Physiopathologie de la résorption osseuse et thérapie des tumeurs osseuses primitives, UMR 990, UNICANCER, INSERM, UCA, CHU Clermont-Ferrand, UBP, UdA, CNRS, UN, IFR26",,,"10.1007/s00280-017-3377-7",,
2017,"hal-01659737","notice","Article dans une revue",,"Elisa ten Hacken, Romain Guièze, Catherine J. Wu","SnapShot: Chronic Lymphocytic Leukemia","CHELTER, UCA",,,"10.1016/j.ccell.2017.10.015",,
2017,"hal-01658591","notice","Article dans une revue",,"Anne Laure Renault, Noura Mebirouk, Eve Cavaciuti, Dorothée Le Gal, J. Lecarpentier, Catherine Dubois D'Enghien, Anthony Laugé, Marie-Gabrielle Dondon, M Labbé, G. Lesca, D. Leroux, L. Gladieff, C. Adenis, L. Faivre, B. Gilbert-Dussardier, A. Lortholary, J.P. Fricker, Karin Dahan, JO Bay, M. Longy, B. Buecher, Nicolas Janin, Hélène Zattara, Pascaline Berthet, Audrey Combes, Isabelle Coupier, Janet Hall, Dominique Stoppa-Lyonnet, Nadine Andrieu, F. Lesueur","Telomere length, ATM mutation status and cancer risk in Ataxia-Telangiectasia families","Cancer et génôme: Bioinformatique, biostatistiques et épidémiologie d'un système complexe, Service de Génétique Oncologique, génétique, Service de génétique médicale CHU Grenoble Hôpital Couple Enfant, Centre oscar lambert, APERAM, Centre Paul Papin, CHELTER, Département de Génétique, CHU, Liège, Département de Génétique, Consultation d'Oncogénétique, Unité d'Oncogénétique, Génotoxicologie, signalisation et radiothérapie expérimentale, MINES ParisTech - École nationale supérieure des mines de Paris, Institut Curie [Paris], INSERM, CHU Grenoble, service d'hématologie chu, Inconnu, CRLCC Paul Papin, UCA, Département de Génétique, CHU, Liège, APHM, TIMONE, UNICANCER/CRLC, UNICANCER, TCBN, NU, CRLCC Val d'Aurelle - Paul Lamarque",,,"10.1093/carcin/bgx074",,"openaccess"
2017,"hal-01654859","notice","Article dans une revue",,"Umberto Barbero, Paolo Scacciatella, Mario Iannaccone, Fabrizio D'Ascenzo, Giampaolo Niccoli, Francesco Colombo, Fabrizio Ugo, Salvatore Colangelo, Massimo Mancone, Simone Calcagno, Gennaro Sardella, NICOLAS AMABILE, Pascal Motreff, Konstantinos Toutouzas, Roberto Garbo, Corrado Tamburino, Antonio Montefusco, Pierluigi Omedè, Claudio Moretti, Maurizio D'amico, Geraud Souteyrand, Fiorenzo Gaita, Christian Templin","Culprit plaque characteristics in younger versus older patients with acute coronary syndromes: An optical coherence tomography study from the FORMIDABLE registry","Dipartimento de Matematica [Milano], Hôpital nord, St Etienne, CHU, IP, GAS-CRH, CHU Clermont-Ferrand, Università degli studi di Milano [Milano], Sigma CLERMONT, UCA, CNRS, EHESS",,,"10.1002/ccd.27172",,
2017,"hal-01654926","notice","Article dans une revue",,"Mario Iannaccone, Fabrizio D'Ascenzo, Antonio Frangieh, Giampaolo Niccoli, Fabrizio Ugo, Giacomo Boccuzzi, Maurizio Bertaina, Massimo Mancone, Antonio Montefusco, NICOLAS AMABILE, Gennaro Sardella, Pascal Motreff, Konstantinos Toutouzas, Francesco Colombo, Roberto Garbo, Giuseppe Biondi-Zoccai, Corrado Tamburino, Pierluigi Omedè, Claudio Moretti, Maurizio D'amico, Geraud Souteyrand, Pascal Meieir, Thomas F. Lüscher, Fiorenzo Gaita, Christian Templin","Impact of an optical coherence tomography guided approach in acute coronary syndromes: A propensity matched analysis from the international FORMIDABLE-CARDIOGROUP IV and USZ registry","GAS-CRH, Hôpital nord, St Etienne, CHU, IP, Dipartimento de Matematica [Milano], CHU Clermont-Ferrand, EHESS, CNRS, Sigma CLERMONT, UCA, Università degli studi di Milano [Milano]",,,"10.1002/ccd.26880",,
2017,"hal-01649254","notice","Article dans une revue",,"Roger Erivan, Guillaume Villatte, Régis Cueff, Stéphane Boisgard, Stéphane Descamps","Rehydration improves the ductility of dry bone allografts","Service de Chirurgie Orthopédique et Traumatologique Hôpital Gabriel Montpied, ICCF, Sigma CLERMONT, UCA, CNRS",,,"10.1007/s10561-017-9630-9",,
2017,"hal-01664739","notice","Article dans une revue",,"Nicolas Poupard, Hugo Groult, Justine Bodin, Nicolas Bridiau, Stéphanie Bordenave-Juchereau, Frédéric Sannier, Jean-Marie Piot, Ingrid Fruitier-Arnaudin, Thierry Maugard","Production of heparin and λ-carrageenan anti-heparanase derivatives using a combination of physicochemical depolymerization and glycol splitting","SEESIB, LIENSs, LGPC, ICCF, UBP, Sigma CLERMONT, CNRS, ULR",,,"10.1016/j.carbpol.2017.02.040",,
2017,"hal-01657840","file","Article dans une revue",,"Guillaume Pierre, Carlo Punta, Cédric Delattre, Lucio Melone, Pascal Dubessay, Andrea Fiorati, Nadia Pastori, Yves M. Galante, Philippe Michaud","TEMPO-mediated oxidation of polysaccharides: An ongoing story","IP, Department of Chemistry, Materials, and Chemical Engineering “G. Natta” and Local Unit INSTM, BMGPP, Istituto di Chimica del Riconoscimento Molecolare, Sigma CLERMONT, UCA, CNRS, POLIMI, UM1, Università Cattolica del Sacro Cuore",,,"10.1016/j.carbpol.2017.02.028",,"openaccess"
